Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
3.7,6.0,64.0,4.5,48,9.784832451499119,3000,649
4.5,6.0,64.0,6.39,48,13.0,3800,21999
4.103105590062111,6.0,32.0,4.5,48,9.784832451499119,3000,1099
3.9,6.0,32.0,4.8,48,9.784832451499119,3000,940
4.5,8.0,128.0,6.7,64,1.0,4700,77999
3.9,6.0,32.0,4.5,48,9.784832451499119,3000,899
4.5,6.0,128.0,6.39,48,13.0,3800,24999
4.2,6.0,128.0,6.08,48,8.0,4030,14990
4.6,12.0,64.0,6.1,35,7.0,3500,573000
4.1,6.0,64.0,4.54,48,9.784832451499119,3700,1250
4.3,4.0,64.0,4.54,48,20.0,1020,2450
4.1,1.0,16.0,4.58,48,8.0,3800,2299
4.0,6.0,32.0,4.77,48,8.0,1100,685
3.6,6.0,2.4,5.597281774580336,48,9.784832451499119,3000,1190
4.1,6.0,25.0,4.54,48,12.0,3000,1369
4.3,6.0,32.0,4.4,64,9.784832451499119,3000,960
3.7,4.0,40.0,4.58,48,8.0,3800,1799
3.7,6.0,64.0,4.5,48,9.784832451499119,3000,639
3.5,6.0,64.0,4.5,48,8.0,3000,639
4.3,3.0,32.0,6.2,38,2.0,4230,13744
3.9,6.0,32.0,4.77,64,9.784832451499119,4600,1399
3.5,6.0,64.0,4.5,48,12.0,3000,639
4.3,4.0,32.0,6.22,38,5.0,3260,13950
3.8,6.0,32.0,4.54,48,9.784832451499119,3500,1149
4.4,2.0,16.0,5.0,38,2.0,3050,13999
4.0,6.0,32.0,4.54,48,9.784832451499119,3000,1690
3.7,8.0,64.0,4.5,48,5.0,3000,479
4.2,4.0,22.0,4.503,48,9.784832451499119,3000,2025
4.7,8.0,64.0,6.5,35,12.0,3500,117100
4.103105590062111,8.0,128.0,6.4,48,9.784832451499119,3500,22999
4.103105590062111,8.0,128.0,6.4,48,5.0,3500,22999
3.9,6.0,32.0,4.54,64,9.784832451499119,1200,1299
4.1,4.0,64.37307692307692,4.4,64,9.784832451499119,3500,1549
4.4,6.0,128.0,6.3,48,1.0,3800,153000
3.7,8.0,64.0,4.5,48,6.0,3000,650
4.2,6.0,24.0,4.54,48,9.784832451499119,1750,1599
3.6,6.0,64.0,4.5,48,4.0,3000,1199
3.4,1.0,4.0,4.7,38,2.0,2800,13298
3.6,8.0,64.0,4.77,48,9.784832451499119,3000,650
4.5,6.0,64.0,6.26,35,5.0,3800,17999
4.2,4.0,64.0,6.5,48,8.0,5000,16499
4.2,6.0,64.0,6.3,48,5.0,3500,18099
4.2,8.0,64.0,4.77,48,9.784832451499119,3000,699
4.1,1.0,16.0,5.4,8,5.0,3000,6999
4.3,8.0,64.0,4.77,48,5.0,3000,649
3.2,6.0,64.0,4.5,64,8.0,3500,539
4.1,6.0,32.0,4.77,48,9.784832451499119,2500,1099
3.7,6.0,32.0,4.54,38,16.0,3000,1299
4.1,6.0,32.0,4.77,48,9.784832451499119,3000,649
3.5,6.0,64.0,4.5,48,8.0,3000,749
4.1,6.0,32.0,4.5,48,16.0,3000,649
4.4,6.0,128.0,6.5,40,2.0,3750,13699
3.9,6.0,32.0,4.5,48,9.784832451499119,3000,813
3.8,6.0,32.0,44.0,48,8.0,3000,890
4.4,6.0,64.0,6.38,48,8.0,4700,18999
3.9,6.0,32.0,4.5,48,9.784832451499119,1750,999
3.6,6.0,64.0,4.5,48,9.784832451499119,3000,649
3.7,6.0,64.0,4.5,48,12.0,3000,1199
3.8,25.0,25.0,4.54,48,9.784832451499119,3000,1199
4.3,6.066344993968637,64.0,4.4,64,8.0,3500,1200
4.1,6.0,32.0,4.54,48,8.0,3000,899
4.3,4.0,64.0,4.8,38,2.0,3000,15999
4.0,12.0,24.0,4.5,48,9.784832451499119,3500,799
4.4,8.0,128.0,6.7,48,8.0,3000,52962
3.5,6.0,64.0,4.5,48,20.0,3000,1299
3.4,6.0,32.0,4.77,48,9.784832451499119,3500,735
4.4,3.0,32.0,6.2,48,16.0,3800,12999
4.2,4.0,64.0,5.99,40,12.0,3010,14990
4.2,6.0,128.0,6.08,48,8.0,4030,17190
4.6,4.0,64.0,6.2,35,8.0,3500,53990
4.2,6.0,32.0,4.54,64,9.784832451499119,3000,990
4.4,2.0,16.0,6.1,38,2.0,3800,6499
4.4,6.0,64.0,6.5,40,2.0,3750,19999
3.8,6.0,32.0,4.5,48,9.784832451499119,3000,1199
4.1,4.0,3.0,4.5,48,12.0,3000,949
4.0,6.0,32.0,4.5,48,8.0,3500,948
3.4,0.0,64.0,4.5,48,9.784832451499119,3000,595
4.1,6.0,32.0,4.54,48,8.0,3000,3149
4.5,6.0,64.0,6.18,35,5.0,3800,21999
3.5,6.0,64.0,4.5,48,16.0,3000,1199
3.5,6.0,64.0,4.5,48,9.784832451499119,3000,1199
3.3,2.0,16.0,5.0,8,9.784832451499119,2000,7199
3.9,6.0,32.0,4.5,64,20.0,3000,950
4.0,30.0,0.0,4.5,64,9.784832451499119,3500,799
4.5,8.0,128.0,6.44,48,13.0,4100,253000
4.2,4.0,2.0,2.0,48,9.784832451499119,3000,2025
3.5,6.0,64.0,4.5,48,20.0,3000,669
4.1,6.0,32.0,4.5,48,9.784832451499119,3000,849
4.1,6.0,32.0,4.5,48,20.0,3000,850
3.6,6.0,64.0,4.5,48,9.784832451499119,3000,639
4.1,6.0,32.0,4.54,48,20.0,3000,1199
4.7,12.0,64.0,5.8,35,12.0,3500,84900
4.3,4.0,128.0,5.84,38,2.0,3000,19999
4.0,6.0,32.0,4.54,48,9.784832451499119,3000,1640
3.4,6.0,64.0,4.5,48,20.0,3000,599
3.7,6.0,64.0,4.5,48,20.0,3000,1199
4.4,3.0,32.0,6.1,38,5.0,3260,13990
4.0,6.0,32.0,4.5,64,9.784832451499119,3000,599
3.9,34.0,64.0,4.5,48,21.0,3000,955
4.5,6.0,128.0,5.8,48,12.0,3100,59000
3.2,6.0,64.0,44.0,48,9.784832451499119,3500,899
4.1,6.0,32.0,4.5,48,20.0,3000,1111
4.1,6.0,32.0,4.5,48,15.0,3000,1099
3.3,6.0,25.0,4.54,64,9.784832451499119,3000,715
4.2,8.0,64.0,4.77,48,32.0,3000,749
3.9,6.0,32.0,4.54,48,9.784832451499119,1200,1199
4.3,3.0,64.0,6.22,38,2.0,5000,9998
3.5,1.0,20.0,4.54,48,9.784832451499119,2800,849
4.4,4.0,128.0,6.35,38,2.0,5000,13900
4.1,6.0,32.0,4.54,48,5.0,3000,850
3.8,4.0,64.0,4.54,48,9.784832451499119,1200,4399
4.2,6.0,128.0,6.08,48,8.0,4030,17398
3.4,6.0,64.0,4.5,48,5.0,3000,1099
3.6,6.0,20.0,4.5,48,9.784832451499119,3000,599
4.3,4.0,128.0,5.84,38,2.0,3000,19999
4.103105590062111,6.0,32.0,4.5,48,9.784832451499119,2500,799
4.7,8.0,64.0,5.8,35,12.0,3500,112450
4.4,6.0,64.0,6.5,48,5.0,3800,24990
3.9,6.0,32.0,4.58,48,5.0,3000,1499
4.5,6.0,64.0,6.3,48,2.0,3500,19990
4.8,12.0,15.0,4.5,35,9.784832451499119,2800,899
4.0,6.0,32.0,4.5,38,32.0,1750,999
3.9,8.0,64.0,4.54,64,32.0,2500,1710
3.1,6.0,32.0,4.5,48,9.784832451499119,3000,599
3.5,6.0,64.0,4.5,48,21.0,3000,1099
4.4,4.0,64.0,5.99,48,2.0,3225,22221
3.5,8.0,32.0,4.5,48,13.0,2500,799
4.0,6.0,32.0,4.5,48,13.0,3500,899
3.9,6.0,32.0,4.54,48,9.784832451499119,1200,1273
4.3,8.0,64.0,4.77,48,9.784832451499119,3000,649
3.5,6.0,64.0,4.5,48,12.0,3000,1099
4.6,8.0,64.0,5.5,35,12.0,3500,49900
4.5,8.0,256.0,6.3,35,12.0,3500,75000
4.4,4.0,64.0,6.0,48,9.784832451499119,3750,11950
4.1,4.0,4.0,4.54,48,12.0,3000,1540
3.2,6.0,64.0,44.0,48,9.784832451499119,3500,899
4.2,6.0,24.0,4.54,48,12.0,1750,1480
3.7,6.0,64.0,4.5,48,9.784832451499119,3000,639
4.1,6.0,32.0,4.5,48,0.0,1050,849
4.0,6.0,32.0,4.58,48,20.0,3700,1300
3.6,6.0,64.0,4.5,48,9.784832451499119,3000,1199
3.4,6.0,64.0,4.5,48,14.0,3000,599
3.8,8.0,64.0,4.77,48,9.784832451499119,3000,649
3.8,6.0,64.0,4.5,48,11.0,3500,870
4.103105590062111,10.0,10.0,4.5,48,11.0,3000,920
3.0,6.0,35.0,4.54,48,23.0,2800,949
4.0,6.0,32.0,4.5,48,32.0,3500,998
3.4,6.0,64.0,4.5,48,8.0,3000,1199
3.9,6.0,32.0,4.54,48,0.0,3000,1200
3.4,6.0,64.0,4.54,20,8.0,3500,639
4.1,6.0,32.0,4.5,48,9.784832451499119,3000,3000
4.5,6.0,64.0,6.3,48,2.0,3750,25999
3.5,6.0,64.0,4.5,48,8.0,3000,639
3.5,6.0,64.0,4.5,48,9.784832451499119,3000,639
4.1,6.0,32.0,4.77,48,5.0,2500,1225
3.9,6.0,32.0,4.54,48,9.784832451499119,3000,1049
3.5,2.0,16.0,5.5,5,5.0,2500,4999
4.6,4.0,64.0,6.6,38,2.0,5000,9499
4.5,4.0,128.0,6.5,48,8.0,5000,11999
4.5,4.0,128.0,6.5,48,8.0,5000,11999
4.5,4.0,128.0,6.5,48,8.0,5000,11999
4.4,6.0,128.0,6.53,64,8.0,4700,16999
4.4,6.0,128.0,6.5,64,8.0,4700,16999
4.5,6.0,64.0,6.67,64,8.0,4700,17499
4.5,6.0,64.0,6.6,64,12.0,4700,17999
4.4,4.0,128.0,6.5,48,8.0,5000,16990
4.4,3.0,32.0,6.35,38,8.0,5000,10990
4.5,6.0,128.0,6.5,64,8.0,5000,17499
4.4,3.0,32.0,6.35,38,8.0,5000,10990
4.3,3.0,32.0,6.22,38,2.0,4230,9990
4.3,3.0,32.0,6.22,38,2.0,4230,9990
4.3,4.0,64.0,7.0,48,5.0,6000,9999
4.3,4.0,64.0,7.0,48,5.0,6000,9999
4.3,4.0,64.0,6.5,35,2.0,4230,12490
4.3,8.0,128.0,6.5,48,8.0,5000,15990
4.3,2.0,32.0,6.2,38,2.0,4230,8990
4.4,4.0,64.0,6.35,38,2.0,5000,12900
4.3,3.0,32.0,5.7,38,2.0,3800,9939
4.4,3.0,64.0,6.35,38,2.0,5000,12649
4.3,3.0,32.0,5.7,38,2.0,3800,9987
3.4,6.0,64.0,4.5,48,9.784832451499119,3000,599
4.3,4.0,4.0,4.5,64,9.784832451499119,3500,3000
4.4,6.0,64.0,6.4,48,5.0,3800,18999
4.5,6.0,128.0,6.18,35,5.0,3800,18999
4.7,8.0,64.0,5.8,35,12.0,3500,140300
4.4,8.0,128.0,6.7,64,5.0,4700,29999
4.5,8.0,128.0,6.7,48,12.0,4700,47999
4.4,4.0,128.0,6.53,48,2.0,4020,16490
4.5,8.0,256.0,6.18,35,5.0,3800,22999
3.9,6.0,32.0,4.54,64,9.784832451499119,4100,1099
3.8,6.0,32.0,4.5,64,9.784832451499119,1050,1299
4.103105590062111,2.0,16.0,5.5,8,8.0,4200,5498
3.8,6.0,32.0,4.7,64,9.784832451499119,4300,3999
4.5,8.0,256.0,6.67,48,8.0,3800,43999
4.6,6.0,128.0,6.67,48,8.0,3800,42990
4.1,6.0,32.0,3.7,64,9.784832451499119,3500,990
4.5,8.0,128.0,6.7,64,1.0,4700,77999
4.5,8.0,128.0,6.7,48,12.0,4700,47999
4.3,2.0,32.0,6.2,38,2.0,4230,12990
4.1,8.0,64.0,4.54,64,9.784832451499119,2500,1199
3.7,6.0,32.0,2.0,64,9.784832451499119,1550,1699
3.8,6.0,32.0,4.54,48,8.0,3000,1349
3.8,6.0,32.0,4.54,25,9.784832451499119,3000,1240
4.103105590062111,6.0,32.0,4.5,25,8.0,1080,649
4.103105590062111,6.0,32.0,4.5,25,8.0,1080,649
3.9,4.0,24.0,4.77,48,8.0,1750,984
4.0,6.0,32.0,3.7,16,8.0,3000,975
4.1,6.0,64.0,4.5,48,9.784832451499119,3000,985
4.5,6.0,128.0,6.39,48,13.0,3800,24999
3.9,6.0,32.0,4.54,25,9.784832451499119,3000,1329
3.5,6.0,64.0,4.5,48,9.784832451499119,3000,599
4.6,8.0,256.0,6.55,48,1.0,3000,38050
4.6,8.0,128.0,6.55,48,1.0,3000,37319
4.5,6.0,64.0,5.5,35,12.0,3500,36999
4.5,8.0,128.0,6.5,64,13.0,3800,31999
4.6,12.0,25.0,6.5,64,13.0,3800,35999
4.5,8.0,128.0,6.5,64,13.0,3800,31999
4.4,6.0,128.0,6.59,48,8.0,3800,16999
4.4,2.0,32.0,6.22,38,5.0,4030,8996
4.5,6.0,128.0,6.4,64,8.0,6000,19900
4.4,8.0,128.0,6.44,48,13.0,4440,34990
4.1,6.0,32.0,4.54,48,9.784832451499119,3000,1699
3.8,6.0,32.0,4.7,64,9.784832451499119,3500,3999
3.8,6.0,32.0,4.7,64,5.0,3000,3999
4.3,4.0,64.0,6.5,38,8.0,3800,14999
4.5,8.0,128.0,6.44,48,8.0,4700,24990
4.7,8.0,64.0,6.1,35,12.0,5000,68300
4.1,6.0,32.0,4.4,48,9.784832451499119,2500,985
4.0,6.0,32.0,3.7,16,9.784832451499119,3000,980
3.0,8.0,64.0,4.54,48,9.784832451499119,3800,899
4.5,4.0,128.0,6.38,48,8.0,4700,16990
4.1,6.0,32.0,4.4,48,9.784832451499119,2500,935
4.5,8.0,64.0,4.7,35,7.0,5000,38999
4.1,6.0,32.0,3.7,64,9.784832451499119,5000,930
4.1,6.0,32.0,3.7,64,5.0,3500,980
4.5,8.0,128.0,6.7,35,12.0,4700,39999
4.1,3.0,32.0,6.26,38,9.784832451499119,3800,9999
4.3,6.0,64.0,6.5,48,8.0,5000,18499
3.9,6.0,32.0,4.77,48,9.784832451499119,2800,1099
3.9,6.0,32.0,4.77,48,5.0,2800,982
4.103105590062111,8.0,64.0,4.5,16,9.784832451499119,3000,799
4.4,8.0,128.0,6.44,48,13.0,4440,34990
4.4,8.0,256.0,6.44,48,13.0,4440,37990
4.3,3.0,32.0,6.22,38,9.784832451499119,4030,10169
4.3,6.066344993968637,64.0,4.4,64,9.784832451499119,3500,1346
4.4,6.0,64.0,6.53,64,8.0,4700,16899
4.5,4.0,64.0,5.6,35,20.0,3000,30999
3.9,6.0,32.0,4.5,64,9.784832451499119,2000,749
4.3,6.0,64.0,6.5,48,8.0,5000,18499
4.1,6.0,32.0,4.7,48,5.0,3000,1499
3.9,6.0,32.0,4.5,48,5.0,3000,849
4.0,6.0,32.0,4.5,48,5.0,3000,1049
3.7,6.0,32.0,4.5,48,9.784832451499119,3000,649
4.3,6.0,128.0,5.99,35,5.0,3700,16999
4.4,8.0,256.0,6.44,48,8.0,4700,31990
3.6,6.0,64.0,4.5,48,9.784832451499119,3500,629
4.1,6.0,32.0,44.0,48,5.0,3000,970
4.5,8.0,128.0,6.7,35,12.0,4700,39999
3.9,6.0,32.0,4.54,48,9.784832451499119,3000,1349
3.9,6.0,32.0,4.54,48,5.0,1750,1110
4.0,8.0,64.37307692307692,4.77,48,9.784832451499119,2500,1045
4.4,6.0,128.0,6.26,48,2.0,3750,22999
3.6,6.0,64.0,4.5,48,9.784832451499119,3000,649
4.4,8.0,128.0,6.4,64,13.0,4025,29990
4.4,8.0,128.0,6.7,64,12.0,4700,32999
4.5,6.0,128.0,6.39,48,13.0,3000,24999
3.5,6.0,64.0,4.5,48,5.0,3000,599
4.2,4.0,4.0,4.54,48,9.784832451499119,1020,2135
4.4,12.0,25.0,6.44,48,13.0,4440,44990
4.5,8.0,256.0,6.6,48,13.0,4065,41990
3.7,8.0,64.0,4.5,64,9.784832451499119,1050,799
4.5,8.0,128.0,6.3,48,2.0,3500,15490
3.4,6.0,32.0,4.5,48,5.0,1050,629
4.5,6.0,64.0,6.5,64,13.0,3800,29999
3.4,6.0,32.0,4.5,48,9.784832451499119,1050,629
4.4,8.0,256.0,6.44,48,8.0,4700,31990
4.6,8.0,256.0,6.67,48,1.0,4085,46970
4.2,6.0,32.0,4.54,48,5.0,2500,1259
4.2,6.0,32.0,4.54,64,9.784832451499119,2500,1619
4.5,4.0,64.0,6.26,35,5.0,3000,14995
4.2,4.0,4.0,4.5,64,5.0,3500,1349
3.6,8.0,64.0,4.54,64,5.0,2500,1079
4.1,6.0,32.0,4.54,48,20.0,3500,3399
4.1,6.0,32.0,4.4,48,12.0,2500,970
4.1,6.0,32.0,3.7,64,12.0,3500,945
3.9,4.0,64.0,4.54,64,9.784832451499119,1750,1399
